massage_id,massage_name,massage_duration,massage_price
1,Classique,60,100.0
2,Classique,90,95.0
3,Rebouto-réactivopathie ®,60,110.0
4,Rebouto-réactivopathie ®,90,105.0
5,Sportif,30,55.0
6,Sportif,60,90.0
7,Tissus profonds,60,100.0
8,Tissus profonds,90,95.0
9,Assis,30,50.0
10,Prénatal,60,120.0
11,Prénatal,90,110.0
12,Enfants,120,200.0
13,Ados,60,80.0
14,Abhyanga,60,130.0
15,Abhyanga,90,115.0
16,Balinais,60,125.0
17,Balinais,90,110.0
18,San Bao,60,110.0
19,San Bao,90,105.0
20,Sweet Lomi,60,130.0
21,Sweet Lomi,90,110.0
22,Tuina minceur,60,115.0
23,Tuina minceur,90,105.0
